method,split,AUROC,AUPRC,R@P95,R@P99,FPR@R95,FPR@R99,F1*,n,ablation_type,ablation_value
single_scale,test_hard_negative,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.9787,299,multi_scale,False
single_scale,test_seq_divergent,0.9735,0.9726,0.8852,0.6557,0.1205,0.6145,0.9244,144,multi_scale,False
single_scale,test_adversarial_mpnn,0.9907,0.9994,0.9995,0.9807,0.0182,0.2555,0.9860,4374,multi_scale,False
multi_scale,test_standard,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,186,multi_scale,True
multi_scale,test_hard_negative,0.9998,0.9994,1.0000,0.9565,0.0000,0.0043,0.9928,299,multi_scale,True
multi_scale,test_seq_divergent,0.9737,0.9710,0.8361,0.8033,0.1687,0.3373,0.9076,144,multi_scale,True
multi_scale,test_adversarial_mpnn,0.9890,0.9992,1.0000,0.9798,0.0255,0.2664,0.9850,4374,multi_scale,True
no_mixup,test_standard,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.9857,186,mixup,False
no_mixup,test_hard_negative,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.9787,299,mixup,False
no_mixup,test_seq_divergent,0.9735,0.9726,0.8852,0.6557,0.1205,0.6145,0.9244,144,mixup,False
no_mixup,test_adversarial_mpnn,0.9907,0.9994,0.9995,0.9807,0.0182,0.2555,0.9860,4374,mixup,False
with_mixup,test_standard,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,186,mixup,True
with_mixup,test_hard_negative,0.9999,0.9996,1.0000,0.9855,0.0000,0.0087,0.9927,299,mixup,True
with_mixup,test_seq_divergent,0.9759,0.9752,0.8525,0.8033,0.1807,0.4458,0.9344,144,mixup,True
with_mixup,test_adversarial_mpnn,0.9861,0.9991,0.9976,0.9729,0.0255,0.4891,0.9813,4374,mixup,True
